Author	Year	Ecosystem	Ecosystem_Description	Matrix	Location	Residence_Time_d
Wikipedia		lake		water	Sweden	150
Wikipedia		lake		water	Ireland	171.55
Wikipedia		lake		water	Switzerland	180
Wikipedia		lake	reservoir	water	France	180
Wikipedia		lake		water	Switzerland	180
Wikipedia		lake		water	Sweden	182.5
Wikipedia		lake		water	Idaho	182.5
Wikipedia		lake	reservoir	water	Illinois	180
Wikipedia		lake		water	Maine	180
Wikipedia		lake	reservoir	water	Maine	180
Wikipedia		lake		water	France	200
Wikipedia		lake		water	Sweden	210
Gottgens_Crisman	1992	lake		water	Florida	219
Wikipedia		lake		water	Maine	246
Wikipedia		lake		water	France	250
Wikipedia		lake		water	France	250
Wikipedia		lake		water	Switzerland	250
Wikipedia		lake		water	United_Kingdom	255.5
Wikipedia		lake		water	Sweden	285
Wikipedia		lake		water	Switzerland	292
Wikipedia		lake		water	Russia	300
Wikipedia		lake		water	Sweden	315
Wikipedia		lake		water	Sweden	365
Wikipedia		lake		water	Sweden	330
Wikipedia		lake		water	United_Kingdom	340
Wikipedia		lake		water	United_Kingdom	350
Xiangcan	2007	lake		water	China_Russia	365
Wikipedia		lake		water	Wisconsin	401.5
Wikipedia		lake		water	Maine	401.5
Wikipedia		lake		water	Maine	401.5
Wikipedia		lake		water	Switzerland	408
Wikipedia		lake		water	India	423.4
Wikipedia		lake		water	India	438
Wikipedia		lake		water	Switzerland	440
Wikipedia		lake		water	Germany	467.2
Wikipedia		lake	reservoir	water	Utah	474.5
Wikipedia		lake	Artificial_reservoir	water	United_Kingdom	500.05
Wikipedia		lake		water	United_Kingdom	500
Wikipedia		lake		water	Switzerland	520.42
Wikipedia		lake		water	Maine	547.5
Wikipedia		lake		water	Switzerland	584
Wikipedia		lake		water	Switzerland	587.65
Wikipedia		lake		water	France	600
Wikipedia		lake		water	Canada_Maine	620.5
Wikipedia		lake		water	Japan	620.5
Wikipedia		lake		water	Austria	657
Wikipedia		lake		water	Austria	657
Wikipedia		lake		water	Italy	657
Wikipedia		lake		water	Minnesota	657
Wikipedia		lake		water	Sweden	657
Wikipedia		lake		water	Switzerland	684
Wikipedia		lake		water	Maine	693.5
Wikipedia		lake		water	United_Kingdom	693.5
Wikipedia		lake		water	Sweden	693.5
Wikipedia		lake		water	Hungary	730
Wikipedia		lake		water	New_Zealand	730
Wikipedia		lake		water	New_Zealand	730
Wikipedia		lake		water	Switzerland	761.03
Wikipedia		lake	reservoir	water	Canada	803
Wikipedia		lake		water	Switzerland	803
Wikipedia		lake		water	Switzerland	803
Wikipedia		lake		water	Maine	839.5
Wikipedia		lake		water	Canada	876
